공통표준단어명,공통표준단어영문약어명,공통표준단어 영문명,공통표준단어 설명,형식단어여부,공통표준도메인분류명,이음동의어 목록,금칙어 목록,제정차수,"개정구분명(폐기 또는 변경)",개정항목,개정사유
존폐,MTNABN,Maintenance Or Abolition,存廢. 존속과 폐지를 아울러 이르는 말,N,,,,4차(2021-12),,,
졸업,GRDTN,Graduation,卒業. 학생이 규정에 따라 소정의 교과 과정을 마침,N,,,,3차(2021-10),,,
종결,TRMN,Termination,終結. 일을 끝냄. 어떤 사태를 원인으로 하여 그 결과로 생기는 상태. 또는 일정한 논리적 전제로부터 이끌어 내게 되는 결론,N,,,,1차(2020-08),,,
종교,RLGN,Religion,宗敎. 신이나 초자연적인 절대자 또는 힘에 대한 믿음을 통하여 인간 생활의 고뇌를 해결하고 삶의 궁극적인 의미를 추구하는 문화 체계,N,,,,6차(2023-11),,,
종료,END,End,終了. 어떤 행동이나 일 따위가 끝남. 또는 행동이나 일 따위를 끝마침,N,,,,1차(2020-08),,,
종류,KND,Kind,種類. 사물의 부문을 나누는 갈래,N,,,,6차(2023-11),,,
종목,CLS,Class,種目. 여러 가지 종류에 따라 나눈 항목,N,,,,5차(2022-07),,,
종사업장,MRBPL,Minor Business Place,"從事業場. 사업자가 둘 이상의 사업장을 가지고 있을 때, 주된 사업장 이외의 사업장을 이르는 말",N,,,,7차(2024-11),,,
종사자,PRCTR,Practicioner,"從事者. 일정한 직업이나 부문, 일 따위에 종사하는 사람",N,,,,7차(2024-11),,,
종일,ALDY,All Day,終日. 아침부터 저녁까지의 동안,N,,,,7차(2024-11),,,
종자,SEED,Seed,種子. 식물에서 나온 씨 또는 씨앗,N,,,,8차(2025-11),,,
종전,PRVS,Previous,從前. 지금보다 이전,N,,,,8차(2025-11),,,
종점,EDPNT,End Point,"終點. 기차, 버스, 전차 따위를 운행하는 일정한 구간의 맨 끝이 되는 지점",N,,,,7차(2024-11),,,
종합,SNTHS,Synthesize,綜合. 여러 가지를 한데 모아서 합함,N,,,,6차(2023-11),,,
종합주가지수,KOSPI,Korean Composite Stock Price Index,綜合株價指數. 증권 시장에 상장된 모든 종목의 주가 변동을 날마다 종합한 지표,Y,율,,,6차(2023-11),,,
좌석,SEAT,Seat,座席. 앉을 수 있게 마련된 자리,N,,,,6차(2023-11),,,
좌측,LFSD,Left Side,左側. 북쪽을 향하였을 때의 서쪽과 같은 쪽,N,,왼쪽,,8차(2025-11),,,
주간근무,DYSFT,Day Shift,晝間勤務. 해가 뜬 후부터 해가 지기 전까지 직무에 종사함,N,,,,8차(2025-11),,,
주거공용면적,DCAR,Dwelling Common Area,"住居公用面積. 아파트 출입 현관과 계단, 복도, 엘리베이터 등과 같이 다른 집과 함께 쓰는 공간의 면적",Y,면적,,,7차(2024-11),,,
주거급여수급,HBRCP,Housing Benefit Receipt,住居給與受給. 저소득층에게 주거비를 지원하여 주거 안정을 도모하는 정부의 공적 정책 제도를 통해 금전적 혜택을 받음,N,,,,8차(2025-11),,,
주거래은행,MBNK,Main Bank,主去來銀行. 어떤 기업의 거래 은행 가운데 가장 많은 돈을 융자하여 주고 자본 관계뿐만 아니라 인적ㆍ정보적으로도 밀접한 관련이 있는 은행,N,,,,6차(2023-11),,,
주거전용면적,NRAR,Net Residential Area,"住居專用面積. 아파트 따위의 공동 주택에서 출입구, 엘리베이터, 계단 등 공용 면적을 뺀 나머지 바닥 면적",Y,면적,,,8차(2025-11),,,
주건축물,MBLD,Main Building,"主建築物. 대지 내에 건물이 둘 이상 있는 때, 주요한 역할이나 기능을 하는 건물. 전통 건축의 경우 주 건축물인 본채를 중심으로 하여 앞채, 아래채, 바깥채, 안채, 사랑채 따위의 건물이 있다",N,,,,5차(2022-07),,,
주계약자,MCNTR,Main Contractor,主契約者. 계약을 맺은 사람 가운데 가장 주된 사람,N,,,,7차(2024-11),,,
주관,SPRVSN,Supervision,主管. 어떤 일을 책임을 지고 맡아 관리함,N,,,,3차(2021-10),,,
주관식,SBJV,Subjective,主觀式. ‘서답형’을 일상적으로 이르는 말,N,,,,7차(2024-11),,,
주근무,WKLWK,Weekly Work,週勤務. 1주일(7일) 동안 직무에 종사함,N,,,,8차(2025-11),,,
주기,CYCLE,Cycle,週期. 같은 현상이나 특징이 한 번 나타나고부터 다음번 되풀이되기까지의 기간,N,,,,8차(2025-11),,,
주담당자,MPIC,Main Person In Charge,主擔當者. 어떤 일을 맡아서 하는 사람 가운데 가장 주된 사람,N,,,,7차(2024-11),,,
주말,WKND,Weekend,週末. 한 주일의 끝 무렵. 주로 토요일부터 일요일까지를 이른다,N,,,,7차(2024-11),,,
주무관청,CPATHR,Competent Authority,主務官廳. 어떤 사무를 주장하여 맡아보는 행정 관청,N,,,,8차(2025-11),,,
주문,ORDR,Order,"注文. 어떤 상품을 만들거나 파는 사람에게 그 상품의 생산이나 수송, 또는 서비스의 제공을 요구하거나 청구함. 또는 그 요구나 청구",N,,,,3차(2021-10),,,
주문자,ORDRR,Orderer,注文者. 물품 따위를 주문하는 사람이나 단체,N,,,,6차(2023-11),,,
주민등록번호,RRNO,Resident Registration Number,住民登錄番號. 주민등록을 할 때 국가에서 국민에게 부여하는 고유번호,Y,주민등록번호,,주민번호,1차(2020-08),,,
주민세,RSDTX,Resident Tax,"住民稅. 지방세의 하나. 그 지역에 거주하는 개인과 그 지역에 사무소나 사업소를 둔 법인, 또는 그들의 소득에 대하여 부과",Y,금액,,,4차(2021-12),,,
주민세율,RSTXRT,Residence Tax Rate,住民稅率. 지방세의 하나인 주민세의 세율,Y,율,,,7차(2024-11),,,
주부속,MANX,Main Annex,主附屬. 주된 사물이나 기관에 딸려서 붙음. 또는 그렇게 딸려 붙은 사물 중의 우선 순위가 높음,N,,,,5차(2022-07),,,
주사업자,MBPR,Main Business Person,"主事業者. 둘 이상의 사업자가 있을 때, 주된 사업자를 이르는 말",N,,,,7차(2024-11),,,
주사업장,MBPL,Main Business Place,"主事業場. 사업자가 둘 이상의 사업장을 가지고 있을 때, 주된 사업장을 이르는 말",N,,,,7차(2024-11),,,
주상복합,MUBLD,Mixed-Use Buildings,住商複合. 한 건물에 주거지와 상가가 함께 있는 것,N,,,,7차(2024-11),,,
주석,ANTN,Annotation,註釋. 낱말이나 문장의 뜻을 쉽게 풀이함 또는 그런 글,N,,,,6차(2023-11),,,
주소,ADDR,Address,"住所. 사람이 살고 있는 곳이나 기관, 회사 따위가 자리 잡고 있는 곳을 행정 구역으로 나타낸 이름",Y,주소,,,2차(2020-12),,,
주소록,ADBK,Address Book,住所錄. 여러 사람의 주소를 적어 모아 둔 장부,N,,,,7차(2024-11),,,
주수,WKCNT,Week Count,週數. 일정 기간을 주 단위로 계산한 수,Y,수,,,7차(2024-11),,,
주식,STCK,Stock,株式. 주식회사의 자본을 구성하는 단위,N,,,,6차(2023-11),,,
주요,MAIN,Main,主要. 주되고 중요함,N,,,,5차(2022-07),,,
주유,RFL,Refueling,注油. 자동차 따위에 기름을 넣음,N,,,,7차(2024-11),,,
주유소,GSTN,Gas Station,注油所. 자동차 따위에 기름을 넣는 곳,N,,,,7차(2024-11),,,
주의,CUTN,Caution,注意. 마음에 새겨 두고 조심함,N,,,,6차(2023-11),,,
주저자,PRAUT,Primary Author,主著者. 글이나 책을 함께 쓴 여러 사람 가운데 주장이나 중심이 되는 사람,N,,,,6차(2023-11),,,
주제,TPC,Topic,主題. 대화나 연구 따위에서 중심이 되는 문제,N,,,,6차(2023-11),,,
주주,STHD,Stockholder,株主. 주식을 가지고 직접 또는 간접으로 회사 경영에 참여하고 있는 개인이나 법인,N,,,,7차(2024-11),,,
주차,PRK,Parking,駐車. 자동차를 일정한 곳에 세워 둠,N,,,,6차(2023-11),,,
주차장,PKLT,Parking Lot,駐車場. 차를 세워 두도록 마련한 곳,N,,,,6차(2023-11),,,
주차장면적,PKLTAR,Parking Lot Area,駐車場面積. 차를 세워 두도록 마련한 곳의 면적,Y,면적,,,6차(2023-11),,,
주체,MNBD,Main Body,主體. 어떤 단체나 물건의 주가 되는 부분,N,,,,7차(2024-11),,,
주최,HST,Host,主催. 행사나 모임을 주장하고 기획하여 엶,N,,,,6차(2023-11),,,
주치의,ATPSN,Attending Physician,主治醫. 어떤 사람의 병을 맡아서 치료하는 의사,N,,,,8차(2025-11),,,
주택,HS,House,住宅. 사람이 들어가 살 수 있게 지은 건물,N,,,,6차(2023-11),,,
주택면적,HSAR,House Area,住宅面積. 사람이 들어가 살 수 있게 지은 건물의 면적,Y,면적,,,6차(2023-11),,,
주특기,MNSP,Main Specialty,主特技. 주된 특기,N,,,,8차(2025-11),,,
주파수,FRQ,Frequency,周波數. 전파나 음파가 1초 동안에 진동하는 횟수,Y,수,,,8차(2025-11),,,
주행,DRVNG,Driving,走行. 주로 동력으로 움직이는 자동차나 열차 따위가 달림,N,,,,8차(2025-11),,,
주휴,WKHLDY,Weekly Holiday,週休. 한 주일에 한 번 휴가가 있는 것 또는 그 휴가,N,,,,8차(2025-11),,,
준공,CMCN,Completion of Construction,竣工. 공사를 다 마침,N,,,,1차(2020-08),,,
준비금,RSFND,Reserve Fund,準備金. 은행이나 회사가 이익금의 일부를 장래에 대비하여 자체적으로 보관하여 두는 돈,Y,금액,,,8차(2025-11),,,
준수,CMPLNC,Compliance,"遵守. 전례나 규칙, 명령 따위를 그대로 좇아서 지킴",N,,,,8차(2025-11),,,
중가산금,IADUE,Increased Additional Dues,重加算金. 행정법에서 규정한 지급 의무를 진 사람이 그 의무를 위반한 경우에 국세 징수법에 의하여 반복적으로 일정한 금전적 부담을 의무 위반에 대한 제재로서 부과하는 일,Y,금액,,,8차(2025-11),,,
중간,MD,Middle,中間. 두 사물의 사이,N,,,,6차(2023-11),,,
중개,MDT,Mediation,仲介. 제삼자로서 두 당사자 사이에 서서 일을 주선함,N,,,,6차(2023-11),,,
중권역,MSIRB,Middle Sphere of Influence in a River Basin,"中圈域. 규모가 큰 지역하천이 공공수역으로 합류하는 지점의 상류 집수구역을 기준으로 환경자료의 수집 및 관리, 유력의 수질오염물질 총량관리, 이수(利水) 및 치수의 측면을 고려하여 구분한 수계영향권",N,,,,7차(2024-11)(폐기후제정),,,
중단,ITRP,Interruption,中斷. 중도에서 끊어지거나 끊음,N,,,,6차(2023-11),,,
중도,MDWY,Midway,中途. 일이 진행되어 가는 동안,N,,,,7차(2024-11),,,
중도금,ITRPY,Interim Payment,中途金. 계약금을 치르고 나서 마지막 잔금을 치르기 전에 지불하는 돈,Y,금액,,,7차(2024-11),,,
중량,WGHT,Weight,重量. 물건의 무거운 정도,Y,수,무게,,7차(2024-11),,,
중문,CHNS,Chinese Sentence,中文. 중국어로 쓴 글 또는 중국어를 표기하는 데 쓰는 문자,N,,,,7차(2024-11),,,
중복,DPCN,Duplication,重複. 거듭하거나 겹침,N,,,,1차(2020-08),,,
중분류,MCLSF,Medium-Scale Classification,中分類. 대분류보다 자세하고 소분류보다 넓은 범위로 가름,N,,,,5차(2022-07),,,
중상자,SRIPR,Seriously Injured Person,重傷者. 아주 심하게 다친 사람,N,,,,7차(2024-11),,,
중소기업,SME,Small and Medium Enterprise,"中小企業. 자본금, 종업원 수, 총자산, 자기 자본 및 매출액 따위의 규모가 대기업에 비하여 상대적으로 작은 기업",N,,,,6차(2023-11),,,
중심,CEN,Center,中心. 사물의 한가운데,N,,,,8차(2025-11),,,
중요,IMPT,Important,重要. 귀중하고 요긴함,N,,,,6차(2023-11),,,
중요도,IMPRT,Importance,重要度. 중요한 정도,N,,,,8차(2025-11),,,
중점,EMPHS,Emphasis,重點. 가장 중요하게 여겨야 할 점,N,,,,7차(2024-11),,,
중증장애인생산품,PMPSD,Products Made By People With Severe Disabilities,"重症障礙人生産品. 중증장애인이 직접 생산에 참여하거나, 고용되어 생산한 제품 또는 용역으로 인증받은 물품",N,,,,8차(2025-11),,,
중지,HLT,Halt,中止. 하던 일을 중도에서 그만둠,N,,,,6차(2023-11),,,
중학교,MDSCHL,Middle School,中學校. 초등학교와 고등학교 사이에 중등 보통 교육을 실시하기 위한 학교,N,,,,8차(2025-11),,,
즉시,IMDT,Immediately,卽時. 어떤 일이 행하여지는 바로 그때,N,,,,8차(2025-11),,,
즐겨찾기,BKMK,Bookmark,즐겨찾기. 월드 와이드 웹에서 사용자가 다시 방문하고 싶은 누리집의 주소를 등록해 놓고 나중에 쉽게 바로 찾아갈 수 있도록 하는 기능,N,,,,6차(2023-11),,,
증가,INCRS,Increase,增加. 양이나 수치가 늚,N,,,,7차(2024-11),,,
증가율,GRWRT,Growth Rate,增加率. 늘어나는 비율,Y,율,,,7차(2024-11),,,
증감,ICDC,Increase And Decrease,增減. 많아지거나 적어짐 또는 늘리거나 줄임,N,,,,6차(2023-11),,,
증거,EVDN,Evidence,證據. 어떤 사실을 증명할 수 있는 근거,N,,,,8차(2025-11),,,
증권,SCRT,Securities,證券. 재산상의 권리와 의무에 관한 사항을 기재한 서면. 유가 증권과 증거 증권이 있다,N,,,,5차(2022-07),,,
증명서,PRDOC,Proof Documentation,證明書. 어떤 사실을 증명하는 문서,N,,,,6차(2023-11),,,
증발량,EVAMT,Evaporation Amount,蒸發量. 일정한 시간 안에 물의 표면에서 수증기가 증발하는 양,Y,수,,,7차(2024-11),,,
증빙,EVDNC,Evidence,證憑. 신빙성 있는 증거로 삼음 또는 그 증거,N,,,,6차(2023-11),,,
증상,SYMP,Symptom,症狀. 병을 앓을 때 나타나는 여러 가지 상태나 모양,N,,,,8차(2025-11),,,
증액,ICAMT,Increased Amount,"增額. 액수를 늘리거나, 그 액수",N,,,,7차(2024-11),,,
지각,LTNS,Lateness,遲刻. 정해진 시각보다 늦게 출근하거나 등교함,N,,,,8차(2025-11),,,
지구,DSTRCT,District,地區. 일정한 기준에 따라 여럿으로 나눈 땅의 한 구획,N,,,,5차(2022-07),,,
지급,GIVE,Give,支給. 돈이나 물품 따위를 정하여진 몫만큼 내줌,N,,,,1차(2020-08),,,
지급인,PAYR,Payer,支給人. 일정 금액을 내주는 사람,N,,,,7차(2024-11),,,
지급처,PMPL,Payment Place,支給處. 돈이나 물품 따위를 정하여진 몫만큼 내주는 곳,N,,,,6차(2023-11),,,
지도교수,ACAVSR,Academic Adviser,"指導敎授. 자기가 직접 가르치는 학생이나, 학업 따위의 문제로 상담을 요청해 오는 학생을 지도하는 교수",N,,,,6차(2023-11),,,
지령,DRTV,Directive,指令. 상급 관청이 하급 관청에 그 소관 사무에 관하여 내리는 명령,N,,,,7차(2024-11),,,
지로,GIRO,Giro,"Giro. 은행 따위의 금융권에서, 돈을 보내는 사람의 부탁을 받아 돈을 받을 일정한 번호의 개인이나 단체의 예금 계좌에 돈을 넣어 주는 방식",N,,,,6차(2023-11),,,
지목,LDCG,Land Category,地目. 주된 용도에 따라 땅을 구분하는 명목,N,,,,2차(2020-12),,,
지목면적,LDCGAR,Land Category Area,地目面積. 주된 용도에 따라 땅을 구분하는 명목의 면적,Y,면적,,,6차(2023-11),,,
지문,FNGPRT,Fingerprint,指紋. 손가락 끝마디 안쪽에 있는 살갗의 무늬 또는 그것이 남긴 흔적,N,,,,8차(2025-11),,,
지방,LCL,Local,地方. 어느 방면의 땅,N,,,,6차(2023-11),,,
지방보조금,LCSBS,Local Subsidy,"地方自治團體. 법령 또는 조례에 따라 특정 사업, 단체, 개인 등에 지급하는 금전적 지원",Y,금액,,,8차(2025-11),,,
지방비,LCEXP,Local Expenditure,地方費. 지방 자치 단체의 경비,Y,비용,,,8차(2025-11),,,
지방세,LCLTX,Local Tax,地方稅. 지방 자치 단체가 그 주민에게 물리는 세금,Y,금액,,,6차(2023-11),,,
지방자치단체,LCLGV,Local Government,"地方自治團體. 특별시ㆍ광역시ㆍ도ㆍ시ㆍ군과 같이, 국가 영토의 일부를 구역으로 하여 그 구역 내에서 법이 인정하는 한도의 지배권을 소유하는 단체",N,,지자체,,6차(2023-11),,,
지방채,MCPBND,Municipal Bond,地方債. 지방 자치 단체가 재정적인 필요에 따라 발행하는 채권,Y,금액,,,4차(2021-12),,,
지방청,LGVOFC,Local Government Office,地方廳. 중앙 관청의 사무를 분담하려고 지방에 두는 국가 행정 기관,N,,,,6차(2023-11),,,
지번,LOTNO,Lot Number,地番. 토지의 일정한 구획을 표시한 번호,N,,,,2차(2020-12),,,
지분,SHR,Share,"持分. 공유물이나 공유 재산 따위에서, 공유자 각자가 소유하는 몫 또는 그런 비율",N,,,,6차(2023-11),,,
지분율,SHRT,Share Ratio,持分率. 전체의 대상물에 대하여 자신의 몫이 차지하는 비율,Y,율,,,6차(2023-11),,,
지불,DFRY,Defrayal,支拂. 돈을 내어줌 또는 값을 치름,N,,,,7차(2024-11),변경,공통표준단어 설명,유관 단어와의 통일성 및 적합성을 고려하여 설명 수정
지붕,ROOF,Roof,지붕. 집의 맨 꼭대기 부분을 덮어 씌우는 덮개,N,,,,5차(2022-07),,,
지사,BROF,Branch Office,"支社. 본사에서 갈려 나가, 본사의 관할 아래 일정한 지역에서 본사의 일을 대신 맡아 하는 곳",N,,,,5차(2022-07),,,
지상,GRND,Ground,地上. 땅의 위,N,,,,2차(2020-12),,,
지속,CONTN,Continuation,持續. 어떤 상태가 오래 계속됨 또는 어떤 상태를 오래 계속함,N,,,,8차(2025-11),,,
지수,IDX,Index,指數. 어떤 수나 문자의 오른쪽 위에 덧붙여 쓰여 그 거듭제곱을 한 횟수를 나타내는 문자나 숫자,Y,율,,,7차(2024-11),,,
지시,DRCTN,Direction,指示. 일러서 시킴 또는 그 내용,N,,,,6차(2023-11),,,
지식,KNWL,Knowledge,知識. 어떤 대상에 대하여 배우거나 실천을 통하여 알게 된 명확한 인식이나 이해,N,,,,7차(2024-11),,,
지식재산권,IPR,Intellectual Property Rights,知識財産權. 지적 활동으로 인하여 발생하는 모든 재산권,N,,,,6차(2023-11),,,
지역,RGN,Region,地域. 전체 사회를 어떤 특징으로 나눈 일정한 공간 영역,N,,,,4차(2021-12),,,
지역구,LCCNS,Local Constituencies,地域區. 일정한 지역을 한 단위로 하여 설정된 선거구,N,,,,8차(2025-11),,,
지연,DLY,Delay,遲延. 무슨 일을 더디게 끌어 시간을 늦춤 또는 시간이 늦추어짐,N,,지체,,6차(2023-11),,,
지원,SPRT,Support,支援. 지지하여 도움,N,,,,2차(2020-12),,,
지원비,SPCO,Support Cost,支援費. 어떤 개인이나 단체 따위를 지지하여 돕는 일에 드는 비용,Y,비용,,,8차(2025-11),,,
지원자,APLCT,Applicant,志願者. 어떤 일이나 조직에 뜻을 두어 한 구성원이 되기를 바라는 사람,N,,,,8차(2025-11),,,
지적,PTOUT,Point Out,指摘. 꼭 집어서 가리킴,N,,,,6차(2023-11),,,
지적면적,PBCDAR,Public Cadastre Area,地籍面積. 지적공부상에 등록된 면적,Y,면적,,,6차(2023-11),,,
지점,BRNCH,Branch,支店. 본점에서 갈라져 나온 점포. 본점의 지휘와 명령에 따르면서도 부분적으로 독립한 기능을 가지고 있다,N,,,,5차(2022-07),,,
지정,DSGN,Designation,指定. 가리키어 확실하게 정함,N,,,,1차(2020-08),,,
지질,GEOFT,Geological Features,地質. 지각을 이루는 여러 가지 암석이나 지층의 성질 또는 상태,N,,,,8차(2025-11),,,
지체상금,LQDMG,Liquidated Damages,遲滯償金. 의무 이행을 정당한 이유 없이 늦추었을 때 내는 배상금,Y,금액,,,7차(2024-11),,,
지출,EXPND,Expenditure,支出. 어떤 목적을 위하여 돈을 지급하는 일,N,,,,4차(2021-12),,,
지출목,EXPITM,Expenditure Item,支出目. 예산이나 회계에서 돈이나 자금이 사용되거나 지출되는 구체적인 항목,N,,,,8차(2025-11),,,
지침,GDLN,Guideline,指針. 생활이나 행동 따위의 지도적 방법이나 방향을 인도하여 주는 준칙,N,,,,8차(2025-11),,,
지표,IDCT,Indicator,"指標. 방향이나 목적, 기준 따위를 나타내는 표지",N,,,,6차(2023-11),,,
지하,UDGD,Underground,地下. 땅속이나 땅속을 파고 만든 구조물의 공간,N,,,,1차(2020-08),,,
지하수,UGWTR,Underground Water,地下水. 땅속의 토사・암석 따위의 빈틈을 채우고 있는 물,N,,,,7차(2024-11),,,
직경,DMTR,Diameter,"直徑. 원이나 구 따위에서, 중심을 지나는 직선으로 그 둘레 위의 두 점을 이은 선분 또는 그 선분의 길이",Y,수,지름,,8차(2025-11),,,
직계존속,LNAS,Lineal Ascendant,直系尊屬. 조상으로부터 직계로 내려와 자기에 이르는 사이의 혈족,N,,,,8차(2025-11),,,
직군,JGRP,Job Group,職群. 성질이 유사한 직무를 한데 뭉뚱그려 군으로 묶은 것,N,,,,7차(2024-11),,,
직급,JBGD,Job Grade,"職級. 직무의 등급. 일의 종류나 난이도, 책임도 따위가 상당히 비슷한 직위를 한데 묶은 최하위의 구분",N,,,,2차(2020-12),,,
직렬,JBSRS,Job Series,職列. 직무의 종류가 유사하고 책임과 어려움의 정도가 다른 직급의 계열,N,,,,6차(2023-11),,,
직류,TPOC,Type Of Occupation,職類. 맡은 직위나 직무를 나누는 갈래,N,,,,7차(2024-11),,,
직무,DUTY,Duty,職務. 직책이나 직업상에서 책임을 지고 담당하여 맡은 사무,N,,,,6차(2023-11),,,
직불카드,DBCRD,Debit Card,直拂CARD. 단말기를 통해 대금을 결제하면 대금이 고객의 은행 계좌에서 가맹점의 은행 계좌로 직접 이체되는 카드,N,,,,8차(2025-11),,,
직업,CR,Career ,職業. 생계를 유지하기 위하여 자신의 적성과 능력에 따라 일정한 기간 동안 계속하여 종사하는 일,N,,,,5차(2022-07),,,
직원,EMP,Employee,職員. 일정한 직장에 근무하는 사람을 통틀어 이르는 말,N,,사원,종업원,2차(2020-12),,,
직위,JBPS,Job Position ,職位. 직무에 따라 규정되는 사회적ㆍ행정적 위치,N,,,,2차(2020-12),,,
직인,OFSL,Office Seal,職印. 직무상 쓰는 도장. 공무원이나 회사원들의 직위 명칭에 '인(印)'자를 붙인다,N,,,,7차(2024-11),,,
직장,WRC,Workplace,職場. 사람들이 일정한 직업을 가지고 일하는 곳,N,,일터,,2차(2020-12),,,
직접,DRCT,Direct,直接. 중간에 제삼자나 매개물이 없이 바로 연결되는 관계,N,,,,6차(2023-11),,,
직접비,DRCO,Direct Cost,"直接費. 제품을 만드는 데 드는 재료비, 노무비 따위의 비용",Y,비용,,,7차(2024-11),,,
직제,OFORG,Office Organization,職制. 직무나 직위에 관한 제도,N,,,,7차(2024-11),,,
직종,OCPT,Occupation,職種. 직업이나 직무의 종류,N,,,,2차(2020-12),,,
직책,JBTTL,Job Title,職責. 직무상의 책임,N,,,,4차(2021-12),,,
직통,DRLN,Direct Line,直通. 전화 따위가 두 지점 사이에 장애나 중계 없이 바로 통함,N,,,,7차(2024-11),,,
진단,DGNS,Diagnosis,診斷. 의사가 환자의 병 상태를 판단하는 일,N,,,,6차(2023-11),,,
진료,MDEXM,Medical Examination,診療. 의사가 환자를 진찰하고 치료하는 일,N,,,,6차(2023-11),,,
진료비,MDSFE,Medical Service Fee,診療費. 진찰받는 환자가 의사나 병원에 치르는 요금,Y,비용,,,8차(2025-11),,,
진수,LNCH,Launching,進水. 새로 만든 배를 조선대에서 처음으로 물에 띄움,N,,,,8차(2025-11),,,
진술,STMT,Statement,陳述. 일이나 상황에 대하여 자세하게 이야기함 또는 그런 이야기,N,,,,8차(2025-11),,,
진행,PRGRS,Progress,進行. 일 등을 처리하여 나감,N,,,,3차(2021-10),,,
진행률,PRGRT,Progress Rate,進行率. 일 따위를 처리하여 나가는 정도 또는 그 비율,Y,율,,,6차(2023-11),,,
질권,PLDRG,Pledge Right,"質權. 채무자가 돈을 갚을 때까지 채권자가 담보물을 간직할 수 있고, 채무자가 돈을 갚지 아니할 때에는 그것으로 우선 변제를 받을 수 있는 권리",N,,,,8차(2025-11),,,
질문,QSTN,Question,質問. 알고자 하는 바를 얻기 위해 물음,N,,,,5차(2022-07),변경,이음동의어 목록,이음동의어(질의) 삭제
질문자,QSTNR,Questioner,質問者. 모르거나 의심나는 점을 묻는 사람,N,,,,7차(2024-11),,,
질병,DSS,Disease,疾病. 몸의 온갖 병,N,,,,5차(2022-07),,,
질의응답,QNA,Question And Answer,質疑應答. 의심나거나 모르는 점을 물음에 응하여 답함,N,,,,7차(2024-11),,,
집계,TOT,Total,集計. 이미 된 계산들을 한데 모아서 계산함. 또는 그런 계산,N,,,,1차(2020-08),,,
집단,GRUP,Group,集團. 여럿이 모여 이룬 모임,N,,,,8차(2025-11),,,
집합건물,CNBD,Condominium Buildings,"集合建物. 아파트, 연립주택, 다세대주택 등 '집합건물의 소유 및 관리에 관한 법률'의 적용을 받는 건물",N,,,,2차(2020-12),,,
집행,IMPL,Implementation,執行. 실제로 시행함,N,,,,2차(2020-12),,,
집회,GTHR,Gathering,集會. 여러 사람이 어떤 목적을 위하여 일시적으로 모임 또는 그런 모임,N,,,,6차(2023-11),,,
징계,DSPN,Disciplinary Punishment,懲戒. 허물이나 잘못을 뉘우치도록 나무라며 경계함,N,,,,6차(2023-11),,,
징구,CLRQ,Collection Request,"徵求. 돈, 곡식 따위를 내놓으라고 요구함",N,,,,6차(2023-11),,,
징수,CLCTN,Collection,"徵收. 나라, 공공 단체, 지주 등이 돈, 곡식, 물품 따위를 거두어들임",N,,,,6차(2023-11),,,
징수관,CLTOR,Collector,"徵收官. 국가나 공공 단체가 행정 목적을 달성하기 위하여 국민들로부터 조세, 수수료, 현품 등을 강제적으로 거두어들이는 세관",N,,,,7차(2024-11),,,
쪽,PAGE,Page,쪽. 책이나 장부 따위의 한 면,N,,페이지,,5차(2022-07),,,
쪽지,NOTE,Note,쪽紙. 어떤 내용의 글을 적은 종이쪽,N,,,,6차(2023-11),,,
차감,SBTR,Subtraction,差減. 비교하여 덜어 냄 또는 비교하여 줄어든 차이,N,,,,6차(2023-11),,,
차금,DFAMT,Difference Amount,差金. 어떤 액수에서 덜어 내고 남은 돈,Y,금액,,,8차(2025-11),,,
차기,NXTM,Next Term,次期. 다음 시기,N,,,,7차(2024-11),,,
차년도,NXTYR,Next Year,次年度. 다음 연도,N,,,,8차(2025-11),,,
차단,SHTOT,Shut Out,遮斷. 액체나 기체 따위의 흐름 또는 통로를 막거나 끊어서 통하지 못하게 함,N,,,,6차(2023-11),,,
차대번호,VIN,Vehicle Identification Number,車臺番號. 차량의 도난을 방지하고 차량 결함을 파악하기 위해서 자동차의 보닛 안에 적어 놓은 자동차의 개별 번호,Y,차대번호,,,2차(2020-12),,,
차량,VHCL,Vehicle,車輛. 도로나 선로 위를 달리는 모든 차를 통틀어 이르는 말,N,,,,5차(2022-07),,,
차로,LANE,Lane,車路. 차마가 한 줄로 도로의 정하여진 부분을 통행하도록 차선(車線)으로 구분한 차도의 부분,N,,,,5차(2022-07),,,
차변,DBSD,The Debit Side,借邊. 부기(簿記)에서 계정 계좌의 왼쪽,N,,,,6차(2023-11),,,
차상위,SHGHRK,The Second Highest Rank,次上位. 특정 기준에 따라 위에서 두 번째에 해당하는 등급이나 위치,N,,,,4차(2021-12),,,
차상위계층,LICLS,Low Income Class,次上位階層. 경제적으로 최하위 계층과 비슷하거나 약간 더 나은 계층. 근로 능력과 약간의 고정 재산이 있어서 소득이 최저 생계비를 초과하므로 기초 생활 수급자로서의 혜택을 받을 수 없는 잠재적 빈곤층이다,N,,,,6차(2023-11),,,
차선,TRFLN,Traffic Lane,車線. 자동차 도로에 주행 방향을 따라 일정한 간격으로 그어 놓은 선,N,,,,4차(2021-12),,,
차수,CYCL,Cycle,次數. 주기나 경과의 해당 시기를 나타내는 말,Y,수,,,5차(2022-07),,,
차이,DIFF,Difference,差異. 서로 같지 아니하고 다름 또는 그런 정도나 상태,N,,,,6차(2023-11),,,
